netName,numVias
clk,18
rst,3
done,1
{key[127]},1
{key[126]},1
{key[125]},1
{key[124]},1
{key[123]},1
{key[122]},1
{key[121]},1
{key[120]},1
{key[119]},1
{key[118]},1
{key[117]},1
{key[116]},1
{key[115]},1
{key[114]},1
{key[113]},1
{key[112]},1
{key[111]},1
{key[110]},1
{key[109]},1
{key[108]},1
{key[107]},1
{key[106]},1
{key[105]},1
{key[104]},1
{key[103]},1
{key[102]},1
{key[101]},1
{key[100]},1
{key[99]},1
{key[98]},1
{key[97]},1
{key[96]},1
{key[95]},1
{key[94]},1
{key[93]},1
{key[92]},1
{key[91]},1
{key[90]},1
{key[89]},1
{key[88]},1
{key[87]},1
{key[86]},1
{key[85]},1
{key[84]},1
{key[83]},1
{key[82]},1
{key[81]},1
{key[80]},1
{key[79]},1
{key[78]},1
{key[77]},1
{key[76]},1
{key[75]},1
{key[74]},1
{key[73]},1
{key[72]},1
{key[71]},1
{key[70]},1
{key[69]},1
{key[68]},1
{key[67]},1
{key[66]},1
{key[65]},1
{key[64]},1
{key[63]},1
{key[62]},1
{key[61]},1
{key[60]},1
{key[59]},1
{key[58]},1
{key[57]},1
{key[56]},1
{key[55]},1
{key[54]},1
{key[53]},1
{key[52]},1
{key[51]},1
{key[50]},1
{key[49]},1
{key[48]},1
{key[47]},1
{key[46]},1
{key[45]},1
{key[44]},1
{key[43]},1
{key[42]},1
{key[41]},1
{key[40]},1
{key[39]},1
{key[38]},1
{key[37]},1
{key[36]},1
{key[35]},1
{key[34]},1
{key[33]},1
{key[32]},1
{key[31]},1
{key[30]},1
{key[29]},1
{key[28]},1
{key[27]},1
{key[26]},1
{key[25]},1
{key[24]},1
{key[23]},1
{key[22]},1
{key[21]},1
{key[20]},1
{key[19]},1
{key[18]},1
{key[17]},1
{key[16]},1
{key[15]},1
{key[14]},1
{key[13]},1
{key[12]},1
{key[11]},1
{key[10]},1
{key[9]},1
{key[8]},1
{key[7]},1
{key[6]},1
{key[5]},1
{key[4]},1
{key[3]},1
{key[2]},1
{key[1]},1
{key[0]},1
{text_in[127]},1
{text_in[126]},1
{text_in[125]},1
{text_in[124]},1
{text_in[123]},1
{text_in[122]},1
{text_in[121]},1
{text_in[120]},1
{text_in[119]},1
{text_in[118]},1
{text_in[117]},1
{text_in[116]},1
{text_in[115]},1
{text_in[114]},1
{text_in[113]},1
{text_in[112]},1
{text_in[111]},1
{text_in[110]},1
{text_in[109]},1
{text_in[108]},1
{text_in[107]},1
{text_in[106]},1
{text_in[105]},1
{text_in[104]},1
{text_in[103]},1
{text_in[102]},1
{text_in[101]},1
{text_in[100]},1
{text_in[99]},1
{text_in[98]},1
{text_in[97]},1
{text_in[96]},1
{text_in[95]},1
{text_in[94]},1
{text_in[93]},1
{text_in[92]},1
{text_in[91]},1
{text_in[90]},1
{text_in[89]},1
{text_in[88]},1
{text_in[87]},1
{text_in[86]},1
{text_in[85]},1
{text_in[84]},1
{text_in[83]},1
{text_in[82]},1
{text_in[81]},1
{text_in[80]},1
{text_in[79]},1
{text_in[78]},1
{text_in[77]},1
{text_in[76]},1
{text_in[75]},1
{text_in[74]},1
{text_in[73]},1
{text_in[72]},1
{text_in[71]},1
{text_in[70]},1
{text_in[69]},1
{text_in[68]},1
{text_in[67]},1
{text_in[66]},1
{text_in[65]},1
{text_in[64]},1
{text_in[63]},1
{text_in[62]},1
{text_in[61]},1
{text_in[60]},1
{text_in[59]},1
{text_in[58]},1
{text_in[57]},1
{text_in[56]},1
{text_in[55]},1
{text_in[54]},1
{text_in[53]},1
{text_in[52]},1
{text_in[51]},1
{text_in[50]},1
{text_in[49]},1
{text_in[48]},1
{text_in[47]},1
{text_in[46]},1
{text_in[45]},1
{text_in[44]},1
{text_in[43]},1
{text_in[42]},1
{text_in[41]},1
{text_in[40]},1
{text_in[39]},1
{text_in[38]},1
{text_in[37]},1
{text_in[36]},1
{text_in[35]},1
{text_in[34]},1
{text_in[33]},1
{text_in[32]},1
{text_in[31]},1
{text_in[30]},1
{text_in[29]},1
{text_in[28]},1
{text_in[27]},1
{text_in[26]},1
{text_in[25]},1
{text_in[24]},1
{text_in[23]},1
{text_in[22]},1
{text_in[21]},1
{text_in[20]},1
{text_in[19]},1
{text_in[18]},1
{text_in[17]},1
{text_in[16]},1
{text_in[15]},1
{text_in[14]},1
{text_in[13]},1
{text_in[12]},1
{text_in[11]},1
{text_in[10]},1
{text_in[9]},1
{text_in[8]},1
{text_in[7]},1
{text_in[6]},1
{text_in[5]},1
{text_in[4]},1
{text_in[3]},1
{text_in[2]},1
{text_in[1]},1
{text_in[0]},1
{text_out[127]},1
{text_out[126]},1
{text_out[125]},1
{text_out[124]},1
{text_out[123]},1
{text_out[122]},1
{text_out[121]},1
{text_out[120]},1
{text_out[119]},1
{text_out[118]},1
{text_out[117]},1
{text_out[116]},1
{text_out[115]},1
{text_out[114]},1
{text_out[113]},1
{text_out[112]},1
{text_out[111]},1
{text_out[110]},1
{text_out[109]},1
{text_out[108]},1
{text_out[107]},1
{text_out[106]},1
{text_out[105]},1
{text_out[104]},1
{text_out[103]},1
{text_out[102]},1
{text_out[101]},1
{text_out[100]},1
{text_out[99]},1
{text_out[98]},1
{text_out[97]},1
{text_out[96]},1
{text_out[95]},1
{text_out[94]},1
{text_out[93]},1
{text_out[92]},1
{text_out[91]},1
{text_out[90]},1
{text_out[89]},1
{text_out[88]},1
{text_out[87]},1
{text_out[86]},1
{text_out[85]},1
{text_out[84]},1
{text_out[83]},1
{text_out[82]},1
{text_out[81]},1
{text_out[80]},1
{text_out[79]},1
{text_out[78]},1
{text_out[77]},1
{text_out[76]},1
{text_out[75]},1
{text_out[74]},1
{text_out[73]},1
{text_out[72]},1
